PropertyType,ClassName,Element,Role
mex:MD_ObligationCode_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,obligation
mex:MD_DatatypeCode_PropertyType,MD_ExtendedElementInformation,extendedElementInformation,dataType
mcc:Abstract_Responsibility_PropertyType,AbstractMD_Identification,,pointOfContact
mcc:Abstract_OnlineResource_PropertyType,MD_MetadataExtensionInformation,,extensionOnLineResource
mex:MD_ExtendedElementInformation_PropertyType,MD_MetadataExtensionInformation,,extendedElementInformation
cat:AbstractCT_Catalogue_PropertyType,MX_Aggregate,,aggregateCatalogue
cat:AbstractCT_Catalogue_PropertyType,MX_DataSet,,datasetCatalogue
mdt:MX_SupportFile_PropertyType,MX_Aggregate,,aggregateFile
mdt:MX_SupportFile_PropertyType,MX_DataSet,,supportFile
gco:GenericName_PropertyType,MX_DataFile,dataFile,featureTypes
mdt:MX_DataFile_PropertyType,MX_DataSet,,dataFile
gcx:FileName_PropertyType,AbstractMX_File,,fileName
gco:CharacterString_PropertyType,AbstractMX_File,,fileDescription
gcx:MimeFileType_PropertyType,AbstractMX_File,,fileType
mcc:Abstract_Citation_PropertyType,MI_Platform,platform,citation
mcc:MD_Identifier_PropertyType,MD_ReferenceSystem,,referenceSystemIdentifier
mrs:MD_ReferenceSystemTypeCode_PropertyType,MD_ReferenceSystem,,referenceSystemType
gco:ScopedName_PropertyType,SV_CoupledResource,coupledResource,scopedName
mcc:Abstract_Citation_PropertyType,MI_Requirement,acquisitionRequirement,citation
mcc:Abstract_Citation_PropertyType,SV_CoupledResource,coupledResource,resourceReference
mcc:Abstract_Citation_PropertyType,SV_ServiceIdentification,,operatedDataset
mcc:Abstract_Citation_PropertyType,SV_ServiceIdentification,,profile
srv:SV_OperationMetadata_PropertyType,SV_CoupledResource,coupledResource,operation
srv:SV_OperationMetadata_PropertyType,SV_OperationChainMetadata,containsChain,operation
srv:SV_OperationMetadata_PropertyType,SV_OperationMetadata,operation,dependsOn
srv:SV_OperationMetadata_PropertyType,SV_ServiceIdentification,,containsOperations
mri:MD_DataIdentification_PropertyType,SV_CoupledResource,coupledResource,resource
mri:MD_DataIdentification_PropertyType,SV_ServiceIdentification,,operatesOn
gco:CharacterString_PropertyType,SV_OperationChainMetadata,containsChain,name
gco:CharacterString_PropertyType,SV_OperationChainMetadata,containsChain,description
gco:CharacterString_PropertyType,SV_OperationMetadata,operation,operationName
gco:CharacterString_PropertyType,SV_OperationMetadata,operation,operationDescription
gco:CharacterString_PropertyType,SV_OperationMetadata,operation,invocationName
gco:CharacterString_PropertyType,SV_Parameter,parameter,description
gco:CharacterString_PropertyType,SV_ServiceIdentification,,serviceTypeVersion
srv:DCPList_PropertyType,SV_OperationMetadata,operation,distributedComputingPlatform
mcc:Abstract_OnlineResource_PropertyType,SV_OperationMetadata,operation,connectPoint
srv:SV_Parameter_PropertyType,SV_OperationMetadata,operation,parameter
gco:MemberName_PropertyType,SV_Parameter,parameter,name
srv:SV_ParameterDirection_PropertyType,SV_Parameter,parameter,direction
gco:Boolean_PropertyType,SV_Parameter,parameter,optionality
gco:Boolean_PropertyType,SV_Parameter,parameter,repeatability
gco:GenericName_PropertyType,SV_ServiceIdentification,,serviceType
mcc:Abstract_StandardOrderProcess_PropertyType,SV_ServiceIdentification,,accessProperties
srv:SV_CouplingType_PropertyType,SV_ServiceIdentification,,couplingType
srv:SV_CoupledResource_PropertyType,SV_ServiceIdentification,,coupledResource
srv:SV_OperationChainMetadata_PropertyType,SV_ServiceIdentification,,containsChain
msr:MD_DimensionNameTypeCode_PropertyType,MD_Dimension,axisDimensionProperties,dimensionName
gco:Integer_PropertyType,MD_Dimension,axisDimensionProperties,dimensionSize
gco:Integer_PropertyType,MD_GeometricObjects,geometricObjects,geometricObjectCount
gco:Integer_PropertyType,MD_GridSpatialRepresentation,,numberOfDimensions
gco:Measure_PropertyType,MD_Dimension,axisDimensionProperties,resolution
gco:CharacterString_PropertyType,MD_Dimension,axisDimensionProperties,dimensionTitle
gco:CharacterString_PropertyType,MD_Dimension,axisDimensionProperties,dimensionDescription
gco:CharacterString_PropertyType,MD_Georectified,,checkPointDescription
gco:CharacterString_PropertyType,MD_Georectified,,transformationDimensionDescription
gco:CharacterString_PropertyType,MD_Georectified,,transformationDimensionMapping
gco:CharacterString_PropertyType,MD_Georeferenceable,,orientationParameterDescription
msr:MD_GeometricObjectTypeCode_PropertyType,MD_GeometricObjects,geometricObjects,geometricObjectType
gco:Boolean_PropertyType,MD_Georectified,,checkPointAvailability
gco:Boolean_PropertyType,MD_Georeferenceable,,controlPointAvailability
gco:Boolean_PropertyType,MD_Georeferenceable,,orientationParameterAvailability
gco:Boolean_PropertyType,MD_GridSpatialRepresentation,,transformationParameterAvailability
gmw:GM_Point_PropertyType,MD_Georectified,,cornerPoints
gmw:GM_Point_PropertyType,MD_Georectified,,centrePoint
msr:MD_PixelOrientationCode_PropertyType,MD_Georectified,,pointInPixel
gco:Record_PropertyType,MD_Georeferenceable,,georeferencedParameters
mcc:Abstract_Citation_PropertyType,SV_ServiceIdentification,,serviceStandard
msr:MD_Dimension_PropertyType,MD_GridSpatialRepresentation,,axisDimensionProperties
msr:MD_CellGeometryCode_PropertyType,MD_GridSpatialRepresentation,,cellGeometry
msr:MD_TopologyLevelCode_PropertyType,MD_VectorSpatialRepresentation,,topologyLevel
msr:MD_GeometricObjects_PropertyType,MD_VectorSpatialRepresentation,,geometricObjects
