PropertyType,ClassName,Element,Role
gco:CharacterString_PropertyType,CI_Address,address,administrativeArea
gco:CharacterString_PropertyType,CI_Address,address,postalCode
gco:CharacterString_PropertyType,CI_Address,address,country
gco:CharacterString_PropertyType,CI_Address,address,electronicMailAddress
gco:CharacterString_PropertyType,CI_Citation,,title
gco:CharacterString_PropertyType,CI_Citation,,alternateTitle
gco:CharacterString_PropertyType,CI_Citation,,edition
gco:CharacterString_PropertyType,CI_Citation,,otherCitationDetails
gco:CharacterString_PropertyType,CI_Citation,,ISBN
gco:CharacterString_PropertyType,CI_Citation,,ISSN
gco:CharacterString_PropertyType,CI_Contact,contactInfo,hoursOfService
gco:CharacterString_PropertyType,CI_Contact,contactInfo,contactInstructions
gco:CharacterString_PropertyType,CI_Contact,contactInfo,contactType
gco:CharacterString_PropertyType,CI_Individual,individual,positionName
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,linkage
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,protocol
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,applicationProfile
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,name
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,description
gco:CharacterString_PropertyType,CI_OnlineResource,onlineResource,protocolRequest
gco:CharacterString_PropertyType,AbstractCI_Party,party,name
gco:CharacterString_PropertyType,CI_Series,series,name
gco:CharacterString_PropertyType,CI_Series,series,issueIdentification
gco:CharacterString_PropertyType,CI_Series,series,page
gco:CharacterString_PropertyType,CI_Telephone,phone,number
cit:CI_Date_PropertyType,CI_Citation,,date
gco:DateTime_PropertyType,CI_Citation,,editionDate
mcc:MD_Identifier_PropertyType,CI_Citation,,identifier
mcc:Abstract_Responsibility_PropertyType,MI_Platform,platform,sponsor
cit:CI_PresentationFormCode_PropertyType,CI_Citation,,presentationForm
cit:CI_Series_PropertyType,CI_Citation,,series
cit:CI_OnlineResource_PropertyType,CI_Citation,,onlineResource
cit:CI_OnlineResource_PropertyType,CI_Contact,contactInfo,onlineResource
mcc:MD_BrowseGraphic_PropertyType,CI_Citation,,graphic
mcc:MD_BrowseGraphic_PropertyType,CI_Organisation,,logo
cit:CI_Telephone_PropertyType,CI_Contact,contactInfo,phone
cit:CI_Address_PropertyType,CI_Contact,contactInfo,address
gco:Date_PropertyType,CI_Date,date,date
cit:CI_DateTypeCode_PropertyType,CI_Date,date,dateType
cit:CI_OnLineFunctionCode_PropertyType,CI_OnlineResource,onlineResource,function
cit:CI_Individual_PropertyType,CI_Organisation,,individual
cit:CI_Contact_PropertyType,AbstractCI_Party,party,contactInfo
cit:CI_RoleCode_PropertyType,CI_Responsibility,citedResponsibleParty,role
mcc:Abstract_Extent_PropertyType,CI_Responsibility,citedResponsibleParty,extent
