Collection,Dialect,Record,Concept,XPath,Content
OLI,ISO,oli_aeri.xml,Abstract,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString,"The atmospheric emitted radiance interferometer (AERI) is a ground-based instrument that measures the downwelling infrared radiance from the Earth’s atmosphere. The observations have broad spectral content and sufficient spectral resolution to discriminate among gaseous emitters (e.g., carbon dioxide and water vapor) and suspended matter (e.g., aerosols, water droplets, and ice crystals). These upward-looking surface observations can be used to obtain vertical profiles of tropospheric temperature and water vapor, as well as measurements of trace gases (e.g., ozone, carbon monoxide, and methane) and downwelling infrared spectral signatures of clouds and aerosols. The AERI is a passive remote sounding instrument, employing a Fourier transform spectrometer operating in the spectral range 3.3–19.2 μm (520–3020 cm-1) at an unapodized resolution of 0.5 cm-1 (max optical path difference of 1 cm). The extended-range AERI (ER-AERI) deployed in dry climates, like in Alaska, have a spectral range of 3.3–25.0 μm (400–3020 cm-1) that allow measurements in the far-infrared region. Typically, the AERI averages views of the sky over a 16-second interval and operates continuously."
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > surface meteorology > Longwave spectral radiance"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > upper air state > Atmospheric moisture"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > upper air state > Atmospheric temperature"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Radiometric > longwave spectral > Atmospheric moisture"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > surface meteorology > Longwave spectral brightness temperature"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > upper air state > Longwave spectral brightness temperature"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > surface meteorology > Atmospheric temperature"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Radiometric > longwave spectral > Longwave spectral brightness temperature"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > surface meteorology > Atmospheric moisture"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Atmospheric State > upper air state > Longwave spectral radiance"
OLI,ISO,oli_aeri.xml,Additional Attributes - Descriptive Keywords,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword//*,"Radiometric > longwave spectral > Longwave spectral radiance"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"PO Box 999, MS K7-28,"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"P.O. Box 999, K7-28,"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"3350 Innovation Ave,"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"Space Science & Engineering Center ,1225 W. Dayton Street"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"1225 W. Dayton St.,"
OLI,ISO,oli_aeri.xml,Address,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint//*,"University of Wisconsin - Madison,1225 West Dayton Street"
